,0,1,2,3
EX_ca2_e,0.0005205,0.0005205,0.0005205,0.0005205
EX_cgly_e,0.0,0.0,0.0,491.93081711667264
EX_cl_e,0.0005205,0.0005205,0.0005205,0.0005205
EX_cobalt2_e,1e-05,1e-05,1e-05,1e-05
EX_cu2_e,0.0,0.0,7.09e-05,7.090000008247443e-05
EX_cu_e,7.09e-05,7.090000082891859e-05,0.0,0.0
EX_fe2_e,0.0,0.0014523000000452833,0.0,0.0
EX_g3pe_e,31.64972680157348,0.0983814999974221,0.0,0.0
EX_gthrd_e,79.24542397060202,120.90103112870939,99.59434088444254,0.0
EX_h2o2_e,0.0,1000.0,0.0,1000.0
EX_istfrnA_e,0.0014523000000295579,0.0,0.0,0.0
EX_istfrnB_e,0.0,0.0,0.0014523000000295579,0.0
EX_k_e,0.019519300000000003,0.019519300000000003,0.019519300000000003,0.019519300000000003
EX_man1p_e,0.0,0.0,0.09838150000177848,0.09838149999979615
EX_mg2_e,0.0008675000000000001,0.0008675000000000001,0.0008675000000000001,0.0008675000000000001
EX_mn2_e,6.91e-05,6.91e-05,6.91e-05,6.91e-05
EX_nmn_e,0.00022780000017519342,0.00022779999884040697,0.00022779999989452904,0.00022779999994781974
EX_o2_e,697.8102169681671,0.0,500.0167684,0.0
EX_pnto__R_e,5.760000010468502e-05,5.759999997394189e-05,5.7599999990998185e-05,5.759999999098431e-05
EX_salchs4fe_e,0.0,0.0,0.0,0.0014523000000295579
EX_so4_e,0.00043380000000000003,0.00043380000000000003,0.00043380000000000003,0.00043380000000000003
EX_zn2_e,3.41e-05,3.41e-05,3.41e-05,3.41e-05
