,0,1,2,3
EX_ala_B_e,0.0,0.0,5.5780934293777805e-05,5.57809344160211e-05
EX_ca2_e,0.000504062088602539,0.000504062088602539,0.000504062088602539,0.000504062088602539
EX_cgly_e,0.0,0.0,109.09267138429963,0.0
EX_cit_e,0.0005040620885665703,0.0005040620885665703,0.0005040620885665703,0.0005040620885665703
EX_cl_e,0.000504062088602539,0.000504062088602539,0.000504062088602539,0.000504062088602539
EX_cmp_e,0.03203481625346345,0.0320348162533719,0.032034816253463466,0.03203481625346345
EX_cobalt2_e,9.68418998275772e-06,9.68418998275772e-06,9.68418998275772e-06,9.68418998275772e-06
EX_cu2_e,6.86609069777522e-05,0.0,6.86609069777522e-05,6.86609069777522e-05
EX_cu_e,0.0,6.86609069777522e-05,0.0,0.0
EX_fe2_e,0.0,0.0014064349111959041,0.0,0.0014064349111959041
EX_fe3_e,0.0,0.0,0.0007561415538537229,0.0
EX_feenter_e,0.0,0.0,0.000650293357342181,0.0
EX_glyc3p_e,911.6293188342228,0.0,0.0,0.0
EX_his__L_e,0.0,0.0,0.0,189.17400126749988
EX_k_e,0.018902860953044304,0.018902860953044304,0.018902860953044304,0.018902860953044304
EX_man1p_e,0.0,1000.0,821.5182360515018,0.0
EX_mg2_e,0.000840103481004232,0.000840103481004232,0.000840103481004232,0.000840103481004232
EX_mn2_e,6.69177527808559e-05,6.69177527808559e-05,6.69177527808559e-05,6.69177527808559e-05
EX_nac_e,0.0002206058475167083,0.0,0.0,0.0
EX_ncam_e,0.0,0.00022060584797145566,0.00022060584785776882,0.00022060584845507415
EX_no3_e,499.9998109646115,108.8968911295031,0.0,0.0
EX_o2_e,1000.0,854.0955568602623,0.0,696.4978767308498
EX_pnto__R_e,5.578093437080822e-05,5.5780934417271055e-05,0.0,0.0
EX_salchs4fe_e,0.0014064349111959041,0.0,0.0,0.0
EX_so4_e,0.02427109798625646,121.57290951802567,94.3346512850758,0.024271097986302923
EX_ump_e,0.0,0.0,0.0,0.0634603032757643
EX_zn2_e,3.30230878412038e-05,3.30230878412038e-05,3.30230878412038e-05,3.30230878412038e-05
