exchange,diff
EX_malthp_e,2.256769941855903
EX_raffin_e,0.7965070383020983
EX_tre_e,0.5310046922014414
EX_malt_e,0.5310046922013884
EX_sucr_e,0.5310046922013695
EX_lcts_e,0.4978168989387811
EX_fru_e,0.2655023461006937
EX_man_e,0.26550234610067736
EX_gal_e,0.23231455283810643
EX_mnl_e,0.2323145528381032
EX_sbt__D_e,0.23231455283809876
EX_glcn__D_e,0.18806416182132946
EX_glyald_e,0.13275117305034645
EX_glcur_e,0.13005530790942388
EX_1ag160_e,0.0995633797879456
EX_dag182d9d12_e,0.09956337978782615
EX_tag182d9d12_e,0.09956337978781149
EX_dag181d9_e,0.0995633797877653
EX_glyc_e,0.09956337978776253
EX_12dgr180_e,0.09956337978775431
EX_1ag182d9d12_e,0.09956337978775198
EX_12dgr160_e,0.09956337978773022
EX_1ag181d9_e,0.09956337978771668
EX_tag181d9_e,0.09956337978770424
EX_1ag180_e,0.09956337978769114
EX_tag160_e,0.09956337978759111
EX_tag180_e,0.09956337978713603
EX_h2o2_e,0.09332058538595789
EX_rib__D_e,0.08850078203354228
EX_man1p_e,0.04024528022788587
EX_ser__L_e,0.033187793262591136
EX_for_e,0.0331877932625827
EX_hxan_e,0.03168122027728182
EX_s_e,0.029164118920224635
EX_xtsn_e,0.02510877005799328
EX_gua_e,0.024991568371975914
EX_glyc3p_e,0.017077806976440013
EX_pyr_e,0.016593896631290295
EX_no_e,0.014269189818334804
EX_cgly_e,0.013706899842140241
EX_cys__L_e,0.013706899842115705
EX_h2s_e,0.013474641093529027
EX_no3_e,0.012068666602155886
EX_gthrd_e,0.011854133419686774
EX_gam_e,0.005862241568952098
EX_acgam_e,0.005862241568933224
EX_g3pe_e,0.005839570216039758
EX_asn__L_e,0.005295126635127767
EX_gly_asn__L_e,0.005295126635126213
EX_alatrp_e,0.004573855962158091
EX_trp__L_e,0.004573855962107465
EX_ura_e,0.0032203990980771424
EX_skm_e,0.0018661205930629032
EX_mal__L_e,0.0015112288833136756
EX_fum_e,0.001511228883286475
EX_drib_e,0.0010268250093790066
EX_acald_e,0.0010268250092554387
EX_metsox_R__L_e,0.0005972797789511874
EX_metsox_S__L_e,0.0005972797789280948
EX_hishis_e,0.0004594167484328615
EX_5mcsn_e,0.000190261615884868
EX_fe3_e,0.0001230001810755832
EX_fe3pyovd_kt_e,0.00012300018103850174
EX_thm_e,6.367813486796159e-05
EX_fe3dcit_e,4.730285808729473e-05
EX_abg4_e,4.10697743399302e-05
EX_4abzglu_e,3.9448511475637105e-05
EX_4ahmmp_e,1.7111844448636226e-05
EX_dca_e,1.3488099526171027e-12
EX_3h4atb_e,1.9162449405030202e-13
EX_ind3ac_e,1.4244161405940758e-13
EX_glygln_e,1.3489209749195652e-13
EX_glymet_e,1.3489209749195652e-13
EX_glyglygln_e,1.3489209749195652e-13
EX_glygly_e,1.3489209749195652e-13
EX_glyglu_e,1.3489209749195652e-13
EX_glyser_e,1.3489209749195652e-13
EX_dhptd_e,1.318944953254686e-13
EX_aso3_e,1.191269305422793e-13
EX_pea_e,8.626432901337466e-14
EX_hisgly_e,6.350475700855895e-14
EX_chol_e,5.950795411990839e-14
EX_serglugly_e,4.674038933671909e-14
EX_salc_e,4.518607710224387e-14
EX_met__D_e,3.952393967665557e-14
EX_3hcinnm_e,3.097522238704187e-14
EX_3mb_e,3.097522238704187e-14
EX_5drib_e,3.097522238704187e-14
EX_5dglcn_e,3.097522238704187e-14
EX_4hphac_e,3.097522238704187e-14
EX_4abut_e,3.097522238704187e-14
EX_leuleu_e,3.0531133177191805e-14
EX_so3_e,2.5757174171303632e-14
EX_tcynt_e,2.3203661214665772e-14
EX_mobd_e,2.020605904817785e-14
EX_6atha_e,1.6431300764452317e-14
EX_glyclt_e,2.4424906541753444e-15
EX_ala_L_leu__L_e,1.3322676295501878e-15
EX_ala_L_his__L_e,1.3322676295501878e-15
EX_arbt6p_e,1.3322676295501878e-15
EX_arbt_e,1.3322676295501878e-15
EX_acac_e,1.3322676295501878e-15
EX_bmn_e,1.3322676295501878e-15
EX_btd_RR_e,1.3322676295501878e-15
EX_acysbmn_e,1.3322676295501878e-15
EX_ala_B_e,1.3322676295501878e-15
EX_ala_L_asp__L_e,1.3322676295501878e-15
EX_alathr_e,1.3322676295501878e-15
EX_R_3hpt_e,1.3322676295501878e-15
EX_ala_L_glu__L_e,1.3322676295501878e-15
EX_ala__L_e,1.3322676295501878e-15
EX_alahis_e,1.3322676295501878e-15
EX_ala_L_thr__L_e,1.3322676295501878e-15
EX_ala__D_e,1.3322676295501878e-15
EX_LalaLglu_e,1.3322676295501878e-15
EX_R_3hcmrs7e_e,1.3322676295501878e-15
EX_ala_L_gln__L_e,1.3322676295501878e-15
EX_alagly_e,1.3322676295501878e-15
EX_R_3hocta_e,1.3322676295501878e-15
EX_4hba_e,1.1102230246251565e-15
EX_glyb_e,7.771561172376096e-16
EX_gly_tyr__L_e,5.551115123125783e-16
EX_hom__L_e,5.551115123125783e-16
EX_gly_met__L_e,5.551115123125783e-16
EX_gly_leu__L_e,5.551115123125783e-16
EX_gly_pro__L_e,5.551115123125783e-16
EX_gly_phe__L_e,5.551115123125783e-16
EX_gly_glu__L_e,5.551115123125783e-16
EX_gly_gln__L_e,5.551115123125783e-16
