exchange,diff
EX_malthp_e,2.0117485722157555
EX_malt_e,0.47335260522724765
EX_tre_e,0.4733526052272392
EX_sucr_e,0.473352605227219
EX_lcts_e,0.38459899174714496
EX_man_e,0.2366763026136457
EX_fru_e,0.23667630261362893
EX_sbt__D_e,0.2169532773958599
EX_raffin_e,0.20709176478695746
EX_gal_e,0.20709176478694313
EX_glcn__D_e,0.17750722696021726
EX_glcur_e,0.128199663915747
EX_glyald_e,0.11833815130681846
EX_dag182d9d12_e,0.09861512608904222
EX_dag181d9_e,0.09861512608904222
EX_12dgr180_e,0.09861512608903933
EX_12dgr160_e,0.09861512608903933
EX_1ag182d9d12_e,0.09861512608903933
EX_1ag180_e,0.09861512608903933
EX_1ag181d9_e,0.09861512608903933
EX_1ag160_e,0.09861512608903933
EX_tag182d9d12_e,0.0986151260890239
EX_tag180_e,0.0986151260890239
EX_tag160_e,0.0986151260890239
EX_tag181d9_e,0.0986151260890239
EX_glyc_e,0.09861512608900769
EX_rib__D_e,0.07889210087124932
EX_h2o2_e,0.07889210087121323
EX_for_e,0.03944605043561089
EX_arg__L_e,0.03513809566629267
EX_ser__D_e,0.02927568361266819
EX_ser__L_e,0.029275683612648873
EX_gly_gln__L_e,0.025765967776997578
EX_glygln_e,0.02576596777698703
EX_glyglygln_e,0.025765967776955168
EX_hxan_e,0.024964337072776788
EX_hishis_e,0.02352091386510735
EX_prohisglu_e,0.023409571863274525
EX_hisgly_e,0.02170246969755063
EX_4abut_e,0.02103335394831163
EX_mal__L_e,0.021033353948296196
EX_fum_e,0.021033353948295197
EX_asp__L_e,0.021033353948292755
EX_glu__L_e,0.02103335394827721
EX_thr__L_e,0.020221785633536604
EX_orn__L_e,0.01741801784303798
EX_pro__L_e,0.01741801784303143
EX_gua_e,0.01692869114193063
EX_gln__L_e,0.015995937904632385
EX_ala_L_gln__L_e,0.015995937904630386
EX_lysglugly_e,0.015408045435515993
EX_gly_asn__L_e,0.014151314163655337
EX_serglugly_e,0.012735776519664399
EX_his__L_e,0.01239160850553711
EX_ala_L_his__L_e,0.012391608505534668
EX_alahis_e,0.012391608505504026
EX_glyc3p_e,0.012072788864304185
EX_s_e,0.011230064476923651
EX_cit_e,0.010320145197268205
EX_ura_e,0.01027611847275578
EX_no_e,0.009861512608949408
EX_glyglu_e,0.009223256381261424
EX_gly_asp__L_e,0.009223256381257317
EX_gly_e,0.009223256381254319
EX_gly_glu__L_e,0.009223256381238554
EX_skm_e,0.008426203925941622
EX_succ_e,0.006837504544612405
EX_gly_pro__L_e,0.006476671204081352
EX_progly_e,0.00647667120404416
EX_lys__L_e,0.006045770498513625
EX_ala_L_thr__L_e,0.005991880348665601
