exchange,diff
EX_malthp_e,2.0323706553437066
EX_malt_e,0.4782048600808797
EX_sucr_e,0.47820486008087126
EX_tre_e,0.4782048600808688
EX_lcts_e,0.41842925257076646
EX_gam_e,0.2410126631893611
EX_man_e,0.2391024300404353
EX_fru_e,0.2391024300404243
EX_mnl_e,0.21917722753706947
EX_sbt__D_e,0.21917722753706137
EX_raffin_e,0.20921462628538479
EX_glcn__D_e,0.17932682253032883
EX_arg__L_e,0.14628358138004127
EX_glyald_e,0.1195512150202197
EX_acgam_e,0.10278546965727009
EX_tag160_e,0.09962601251685332
EX_12dgr160_e,0.09962601251685321
EX_dag181d9_e,0.09962601251685177
EX_dag182d9d12_e,0.09962601251685177
EX_tag182d9d12_e,0.09962601251685155
EX_tag181d9_e,0.09962601251685155
EX_tag180_e,0.09962601251685155
EX_glyc_e,0.0996260125168471
EX_1ag180_e,0.09962601251684644
EX_1ag182d9d12_e,0.09962601251684644
EX_12dgr180_e,0.09962601251684644
EX_1ag181d9_e,0.09962601251684644
EX_1ag160_e,0.09962601251684644
EX_h2o2_e,0.07970081001348028
EX_rib__D_e,0.07970081001347895
EX_for_e,0.03985040500674175
EX_ser__L_e,0.02967637938182799
EX_hxan_e,0.025490582524827277
EX_hishis_e,0.024016088355484744
EX_gly_gln__L_e,0.02351911095784509
EX_glygln_e,0.023519110957844425
EX_glyglygln_e,0.023519110957843314
EX_hisgly_e,0.02215861308527689
EX_prohisglu_e,0.021764684003807933
EX_mal__L_e,0.021475167000752027
EX_glu__L_e,0.021475167000751583
EX_fum_e,0.02147516700075147
EX_asp__L_e,0.021475167000750472
EX_4abut_e,0.021475167000749362
EX_thr__L_e,0.02064624026091677
EX_gua_e,0.019012509760194307
EX_orn__L_e,0.01778269564778867
ORNt,0.017782695647784896
EX_xtsn_e,0.016708754853376195
EX_no3_e,0.016149821635131678
EX_lysglugly_e,0.01573005375379566
EX_pro__L_e,0.015689678835654308
EX_gly_asn__L_e,0.014446721312395217
EX_ala_L_gln__L_e,0.013634310806211136
EX_gln__L_e,0.013634310806210248
EX_serglugly_e,0.013001292770159822
EX_alahis_e,0.012649868687552135
EX_ala_L_his__L_e,0.012649868687550803
EX_his__L_e,0.012649868687549026
EX_glyc3p_e,0.01232433140286815
EX_fe3dcit_e,0.010620440947492482
EX_cit_e,0.01053482773268033
EX_gly_glu__L_e,0.009414929399892968
EX_gly_e,0.009414929399890859
EX_gly_asp__L_e,0.009414929399890304
EX_glyglu_e,0.009414929399887084
EX_skm_e,0.008601185730141236
EX_succ_e,0.006979288955333618
EX_lys__L_e,0.00617104658736356
EX_ala_L_thr__L_e,0.006116033646133667
EX_ala_L_Thr__L_e,0.006116033646133667
EX_gly_phe__L_e,0.006037111046511612
EX_ura_e,0.005946299294683155
EX_g3pe_e,0.005407861775830747
EX_phe__L_e,0.005406530159304368
EX_ile__L_e,0.004886881785202801
EX_tyr__L_e,0.004878752547779697
EX_asn__L_e,0.004865452054000685
EX_gly_tyr__L_e,0.004644496949195331
EX_progly_e,0.004598215828142016
EX_gly_pro__L_e,0.004598215828140462
EX_glyser_e,0.004145547439758479
EX_gly_met__L_e,0.0036162024219421607
EX_glymet_e,0.003616202421938719
EX_trp__L_e,0.003497172310698571
EX_alatrp_e,0.003497172310693797
EX_metsox_S__L_e,0.003269783724129227
EX_metsox_R__L_e,0.003269783724129227
EX_met__D_e,0.003096734612402674
EX_met_L_ala__L_e,0.003096734612402119
EX_met__L_e,0.0030967346124013417
EX_s_e,0.0016475501604985565
EX_drib_e,0.0009729243572819124
EX_acald_e,0.0009729243572810242
EX_h2s_e,0.0008567694442586093
EX_cgly_e,0.0008225605292992988
EX_5mcsn_e,0.0005094896072388444
EX_fe3pyovd_kt_e,8.246907461095798e-05
EX_fe3_e,8.246907461018083e-05
EX_ribflv_e,6.594795791925456e-05
EX_abg4_e,3.2724105668680004e-05
EX_4abzglu_e,3.160844795158102e-05
EX_thm_e,2.9996950237975994e-05
EX_4ahmmp_e,1.2642949403729453e-05
EX_xyl__D_e,8.326672684688674e-15
EX_taur_e,6.661338147750939e-15
EX_tcynt_e,6.661338147750939e-15
EX_tsul_e,6.439293542825908e-15
EX_glcur_e,6.328271240363392e-15
EX_na1_e,5.329070518200751e-15
EX_ni2_e,5.329070518200751e-15
EX_btn_e,5.329070518200751e-15
EX_34dhbz_e,5.329070518200751e-15
EX_ala_L_leu__L_e,3.552713678800501e-15
EX_glyb_e,3.3306690738754696e-15
EX_glyclt_e,3.3306690738754696e-15
EX_spmd_e,2.9976021664879227e-15
EX_stfrnA_e,2.9976021664879227e-15
EX_stfrnB_e,2.9976021664879227e-15
EX_pacald_e,2.9976021664879227e-15
EX_chol_e,2.55351295663786e-15
EX_salc_e,2.55351295663786e-15
EX_salchs4_e,2.55351295663786e-15
EX_salchs4fe_e,2.55351295663786e-15
EX_pyr_e,2.55351295663786e-15
EX_pyovd_kt_e,2.55351295663786e-15
EX_4hba_e,2.55351295663786e-15
EX_4crsol_e,2.4424906541753444e-15
EX_cu_e,2.4424906541753444e-15
EX_cyan_e,2.4424906541753444e-15
EX_dca_e,2.4424906541753444e-15
EX_dhptd_e,2.4424906541753444e-15
EX_co2_e,2.4424906541753444e-15
EX_melib_e,2.4424906541753444e-15
EX_mobd_e,2.4424906541753444e-15
EX_but_e,2.4424906541753444e-15
EX_no2_e,2.4424906541753444e-15
EX_bmn_e,2.4424906541753444e-15
EX_lac__D_e,2.3314683517128287e-15
EX_ocdca_e,2.3314683517128287e-15
EX_6atha_e,2.3314683517128287e-15
EX_R_3hcmrs7e_e,2.3314683517128287e-15
EX_lac__L_e,2.3314683517128287e-15
EX_acac_e,2.3314683517128287e-15
EX_LalaLglu_e,2.3314683517128287e-15
EX_istfrnA_e,2.3314683517128287e-15
EX_indole_e,2.3314683517128287e-15
EX_inost_e,2.3314683517128287e-15
EX_istfrnB_e,2.3314683517128287e-15
EX_hxa_e,2.1094237467877974e-15
EX_tol_e,2.1094237467877974e-15
EX_ind3ac_e,2.1094237467877974e-15
EX_so3_e,1.9984014443252818e-15
EX_anhgm_e,1.7763568394002505e-15
EX_alagly_e,1.7763568394002505e-15
EX_cmcbtt_e,1.6653345369377348e-15
EX_pheme_e,1.6653345369377348e-15
EX_gthrd_e,1.5543122344752192e-15
EX_aso3_e,1.5543122344752192e-15
EX_hdca_e,1.5543122344752192e-15
EX_glygly_e,9.992007221626409e-16
EX_peamn_e,4.440892098500626e-16
EX_ppa_e,4.440892098500626e-16
EX_ala_L_glu__L_e,3.3306690738754696e-16
EX_ala_L_asp__L_e,3.3306690738754696e-16
EX_ala__L_e,3.3306690738754696e-16
EX_acglu_e,3.3306690738754696e-16
EX_actn__R_e,3.3306690738754696e-16
EX_ala__D_e,3.3306690738754696e-16
EX_ala_B_e,3.3306690738754696e-16
EX_acysbmn_e,3.3306690738754696e-16
EX_glcr_e,2.220446049250313e-16
