model	objective	gene	status	value
./model.xml	obj	G_WP_086890518_1	optimal	77.49506291513424
./model.xml	obj	G_WP_086890523_1	optimal	77.4950629151343
./model.xml	obj	G_WP_086890530_1	optimal	77.49506291513433
./model.xml	obj	G_WP_086890531_1	optimal	77.4950629151343
./model.xml	obj	G_WP_086890533_1	optimal	77.49506291513434
./model.xml	obj	G_WP_086890534_1	optimal	77.49506291513428
./model.xml	obj	G_WP_086890537_1	optimal	77.49506291513431
./model.xml	obj	G_WP_086890541_1	optimal	77.49506291513424
./model.xml	obj	G_WP_086890542_1	optimal	77.49506291513424
./model.xml	obj	G_WP_086890544_1	optimal	77.49506291513434
./model.xml	obj	G_WP_086890552_1	optimal	77.49506291513424
./model.xml	obj	G_WP_086890558_1	optimal	77.49506291513444
./model.xml	obj	G_WP_086890559_1	optimal	77.49506291513424
./model.xml	obj	G_WP_086890577_1	optimal	77.49506291513428
./model.xml	obj	G_WP_086890578_1	optimal	77.49506291513424
./model.xml	obj	G_WP_086890582_1	optimal	77.49506291513418
./model.xml	obj	G_WP_086890589_1	optimal	77.49506291513437
./model.xml	obj	G_WP_086890590_1	optimal	77.49506291513426
./model.xml	obj	G_WP_086890591_1	optimal	77.49506291513423
./model.xml	obj	G_WP_086890592_1	optimal	77.49506291513428
./model.xml	obj	G_WP_086890604_1	optimal	77.49506291513453
./model.xml	obj	G_WP_086890610_1	optimal	77.49506291513443
./model.xml	obj	G_WP_086890620_1	optimal	77.49506291513428
./model.xml	obj	G_WP_086890622_1	optimal	77.49506291513438
./model.xml	obj	G_WP_086890623_1	optimal	77.49506291513417
./model.xml	obj	G_WP_086890624_1	optimal	77.49506291513435
./model.xml	obj	G_WP_086890625_1	optimal	77.4950629151343
./model.xml	obj	G_WP_086890627_1	optimal	77.49506291513428
./model.xml	obj	G_WP_086890628_1	optimal	77.49506291513433
./model.xml	obj	G_WP_086890629_1	optimal	77.49506291513433
./model.xml	obj	G_WP_086890630_1	optimal	0.0
