model,medium,doubling_time [min],growth_value,complete
fda_1054,SNM3,63.477562974053455,0.6551737162719403,True
fda_1197,SNM3,63.2691444203687,0.657331961963559,True
fda_1115,SNM3,56.200276280426515,0.7400111456050139,True
fda_1116,SNM3,53.88541260594833,0.7718012876272528,EX_nmn_e
KC_Na_01,SNM3,28.512210184721514,1.4586323039903237,EX_cmp_e
fda_1054,RPMI,60.01801679906234,0.6929391048163801,"EX_cobalt2_e, EX_cu2_e, EX_fe2_e, EX_mn2_e, EX_zn2_e"
fda_1197,RPMI,61.914129759865205,0.6717179260194654,"EX_cobalt2_e, EX_cu2_e, EX_fe2_e, EX_mn2_e, EX_zn2_e"
fda_1115,RPMI,55.77129874771811,0.7457031083626743,"EX_cobalt2_e, EX_cu2_e, EX_fe2_e, EX_mn2_e, EX_zn2_e"
fda_1116,RPMI,52.63135557666152,0.7901911394438523,"EX_cobalt2_e, EX_cu2_e, EX_fe2_e, EX_mn2_e, EX_nmn_e, EX_zn2_e"
KC_Na_01,RPMI,-1.388233066262118e+29,-2.9958104186047502e-28,"EX_cit_e, EX_mn2_e, EX_cobalt2_e, EX_zn2_e, EX_cmp_e, EX_fe2_e"
fda_1054,CGXlab,75.81617006462135,0.5485482951479715,EX_cobalt2_e
fda_1197,CGXlab,75.20032414284653,0.5530405793809717,"EX_ala_B_e, EX_cgly_e, EX_cobalt2_e"
fda_1115,CGXlab,74.43481205017096,0.5587282306236602,"EX_cgly_e, EX_cobalt2_e, EX_pnto__R_e"
fda_1116,CGXlab,-7.223969502202403e+16,-5.757060688160068e-16,"EX_cobalt2_e, EX_nmn_e, EX_pnto__R_e"
KC_Na_01,CGXlab,46.83827301353472,0.8879240876703314,"EX_cit_e, EX_cobalt2_e, EX_cmp_e, EX_ncam_e, EX_pnto__R_e"
