model	objective	gene	status	value
./model.xml	obj	G_WP_086891689	optimal	38.317038406064704
./model.xml	obj	G_lcl_CP068158_1_prot_2512	optimal	38.317038406064796
./model.xml	obj	G_lcl_CP068158_1_prot_2569	optimal	38.31703840606474
./model.xml	obj	G_lcl_CP068158_1_prot_272	optimal	38.31703840606457
./model.xml	obj	G_lcl_CP068158_1_prot_449	optimal	38.31703840606473
./model.xml	obj	G_lcl_CP068158_1_prot_450	optimal	38.31703840606473
./model.xml	obj	G_lcl_CP068158_1_prot_614	optimal	38.31703840606469
./model.xml	obj	G_lcl_CP068158_1_prot_830	optimal	38.317038406064746
./model.xml	obj	G_lcl_CP068158_1_prot_850	optimal	38.31703840606473
./model.xml	obj	G_lcl_CP068158_1_prot_QQU75893_1_1362	optimal	38.3170384060647
./model.xml	obj	G_lcl_CP068158_1_prot_QQU75894_1_1363	optimal	38.3170384060647
./model.xml	obj	G_lcl_CP068158_1_prot_QQU75897_1_1366	optimal	38.31703840606473
./model.xml	obj	G_lcl_CP068158_1_prot_QQU75900_1_1369	optimal	38.31703840606473
./model.xml	obj	G_lcl_CP068158_1_prot_QQU75901_1_1370	optimal	38.31703840606477
./model.xml	obj	G_lcl_CP068158_1_prot_QQU75902_1_1371	optimal	38.3170384060647
./model.xml	obj	G_lcl_CP068158_1_prot_QQU75903_1_1372	optimal	38.3170384060647
./model.xml	obj	G_lcl_CP068158_1_prot_QQU75910_1_1380	optimal	38.31703840606439
./model.xml	obj	G_lcl_CP068158_1_prot_QQU75911_1_1381	optimal	38.31703840606491
./model.xml	obj	G_lcl_CP068158_1_prot_QQU75913_1_1383	optimal	38.317038406064675
./model.xml	obj	G_lcl_CP068158_1_prot_QQU75915_1_1385	optimal	38.317038406064675
./model.xml	obj	G_lcl_CP068158_1_prot_QQU75925_1_1395	optimal	38.317038406055126
./model.xml	obj	G_lcl_CP068158_1_prot_QQU75926_1_1396	optimal	-1.6573276933995275e-14
./model.xml	obj	G_lcl_CP068158_1_prot_QQU75927_1_1397	optimal	-4.076354767183889e-14
./model.xml	obj	G_lcl_CP068158_1_prot_QQU75930_1_1400	optimal	30.542566845413628
./model.xml	obj	G_lcl_CP068158_1_prot_QQU75936_1_1407	optimal	38.31703840606475
./model.xml	obj	G_lcl_CP068158_1_prot_QQU75937_1_1408	optimal	38.31703840606475
./model.xml	obj	G_lcl_CP068158_1_prot_QQU75958_1_1429	optimal	38.31703840606465
./model.xml	obj	G_lcl_CP068158_1_prot_QQU75959_1_1430	optimal	38.31703840606472
./model.xml	obj	G_lcl_CP068158_1_prot_QQU75963_1_1434	optimal	38.317038406064725
./model.xml	obj	G_lcl_CP068158_1_prot_QQU75965_1_1436	optimal	38.31703840603953
./model.xml	obj	G_lcl_CP068158_1_prot_QQU75968_1_1439	optimal	38.31703840606465
./model.xml	obj	G_lcl_CP068158_1_prot_QQU75969_1_1440	optimal	38.31703840606465
./model.xml	obj	G_lcl_CP068158_1_prot_QQU75977_1_1448	optimal	38.31703840606472
./model.xml	obj	G_lcl_CP068158_1_prot_QQU75978_1_1449	optimal	38.31703840606472
./model.xml	obj	G_lcl_CP068158_1_prot_QQU75979_1_1450	optimal	38.31703840606465
./model.xml	obj	G_lcl_CP068158_1_prot_QQU75980_1_1451	optimal	38.31703840606465
./model.xml	obj	G_lcl_CP068158_1_prot_QQU75981_1_1452	optimal	38.31703840606465
./model.xml	obj	G_lcl_CP068158_1_prot_QQU75982_1_1453	optimal	38.31703840606465
./model.xml	obj	G_lcl_CP068158_1_prot_QQU75984_1_1455	optimal	38.31703840603953
./model.xml	obj	G_lcl_CP068158_1_prot_QQU75986_1_1457	optimal	38.31703840606478
./model.xml	obj	G_lcl_CP068158_1_prot_QQU75988_1_1459	optimal	38.31703840606484
./model.xml	obj	G_lcl_CP068158_1_prot_QQU75990_1_1461	optimal	38.31703840603953
./model.xml	obj	G_lcl_CP068158_1_prot_QQU75991_1_1462	optimal	38.31703840606469
./model.xml	obj	G_lcl_CP068158_1_prot_QQU75992_1_1463	optimal	38.26596802056106
./model.xml	obj	G_lcl_CP068158_1_prot_QQU75995_1_1466	optimal	38.31703840606469
./model.xml	obj	G_lcl_CP068158_1_prot_QQU76000_1_1473	optimal	38.31703840606462
./model.xml	obj	G_lcl_CP068158_1_prot_QQU76041_1_1518	optimal	38.3170384060647
./model.xml	obj	G_lcl_CP068158_1_prot_QQU76077_1_1558	optimal	38.31703840606469
