model	objective	gene	status	value
./model.xml	obj	G_lcl_CP066290_1_prot_QQE52128_1_1586	optimal	52.68612231255414
./model.xml	obj	G_lcl_CP066290_1_prot_QQE52129_1_1587	optimal	52.686122312554176
./model.xml	obj	G_lcl_CP066290_1_prot_QQE52130_1_1588	optimal	52.50614026322979
./model.xml	obj	G_lcl_CP066290_1_prot_QQE52131_1_1589	optimal	52.686122312554104
./model.xml	obj	G_lcl_CP066290_1_prot_QQE52136_1_1595	optimal	52.686122312554104
./model.xml	obj	G_lcl_CP066290_1_prot_QQE52137_1_1596	optimal	52.686122312554104
./model.xml	obj	G_lcl_CP066290_1_prot_QQE52138_1_1597	optimal	52.68612231255403
./model.xml	obj	G_lcl_CP066290_1_prot_QQE52141_1_1601	optimal	52.686122312554076
./model.xml	obj	G_lcl_CP066290_1_prot_QQE52142_1_1602	optimal	51.540884035461225
./model.xml	obj	G_lcl_CP066290_1_prot_QQE52144_1_1604	optimal	52.68612231255412
./model.xml	obj	G_lcl_CP066290_1_prot_QQE52145_1_1605	optimal	52.686122312554104
./model.xml	obj	G_lcl_CP066290_1_prot_QQE52151_1_1611	optimal	52.686122312554204
./model.xml	obj	G_lcl_CP066290_1_prot_QQE52161_1_1621	optimal	52.68612231255443
./model.xml	obj	G_lcl_CP066290_1_prot_QQE52163_1_1623	optimal	52.686122312553586
./model.xml	obj	G_lcl_CP066290_1_prot_QQE52167_1_1627	optimal	52.686122312553586
./model.xml	obj	G_lcl_CP066290_1_prot_QQE52169_1_1629	optimal	1.1867119553900443e-13
./model.xml	obj	G_lcl_CP066290_1_prot_QQE52170_1_1630	optimal	52.68612231255412
./model.xml	obj	G_lcl_CP066290_1_prot_QQE52194_1_1662	optimal	52.686122312554126
./model.xml	obj	G_lcl_CP066290_1_prot_QQE52201_1_1670	optimal	52.686122312554126
./model.xml	obj	G_lcl_CP066290_1_prot_QQE52203_1_1672	optimal	52.686122312554104
./model.xml	obj	G_lcl_CP066290_1_prot_QQE52206_1_1676	optimal	52.68612231255292
./model.xml	obj	G_lcl_CP066290_1_prot_QQE52208_1_1678	optimal	52.686122312554176
./model.xml	obj	G_lcl_CP066290_1_prot_QQE52211_1_1681	optimal	52.68611890961349
./model.xml	obj	G_lcl_CP066290_1_prot_QQE52213_1_1684	optimal	52.68612231255438
./model.xml	obj	G_lcl_CP066290_1_prot_QQE52214_1_1686	optimal	52.68612231255415
./model.xml	obj	G_lcl_CP066290_1_prot_QQE52215_1_1687	optimal	52.68612231255412
./model.xml	obj	G_lcl_CP066290_1_prot_QQE52216_1_1688	optimal	52.68612231255419
./model.xml	obj	G_lcl_CP066290_1_prot_QQE52217_1_1689	optimal	52.686122312554154
./model.xml	obj	G_lcl_CP066290_1_prot_QQE52218_1_1690	optimal	52.686122312553586
./model.xml	obj	G_lcl_CP066290_1_prot_QQE52219_1_1691	optimal	52.68612231255416
./model.xml	obj	G_lcl_CP066290_1_prot_QQE52220_1_1692	optimal	52.68612231255302
./model.xml	obj	G_lcl_CP066290_1_prot_QQE52221_1_1693	optimal	52.686122312554126
./model.xml	obj	G_lcl_CP066290_1_prot_QQE52226_1_1700	optimal	52.68612231255302
./model.xml	obj	G_lcl_CP066290_1_prot_QQE52249_1_1731	optimal	52.686122312554154
./model.xml	obj	G_lcl_CP066290_1_prot_QQE52256_1_1738	optimal	52.686122312554055
./model.xml	obj	G_lcl_CP066290_1_prot_QQE52259_1_1741	optimal	51.395714517106505
./model.xml	obj	G_lcl_CP066290_1_prot_QQE52260_1_1742	optimal	52.686122312554126
./model.xml	obj	G_lcl_CP066290_1_prot_QQE52261_1_1743	optimal	52.686122312554126
./model.xml	obj	G_lcl_CP066290_1_prot_QQE52263_1_1745	optimal	52.68612231255485
./model.xml	obj	G_lcl_CP066290_1_prot_QQE52265_1_1747	optimal	52.68612231255443
./model.xml	obj	G_lcl_CP066290_1_prot_QQE52266_1_1748	optimal	52.68612231255412
./model.xml	obj	G_lcl_CP066290_1_prot_QQE52267_1_1749	optimal	52.68612231255403
./model.xml	obj	G_lcl_CP066290_1_prot_QQE52269_1_1751	optimal	52.686122312553586
./model.xml	obj	G_lcl_CP066290_1_prot_QQE52270_1_1752	optimal	52.6861223125541
./model.xml	obj	G_lcl_CP066290_1_prot_QQE52271_1_1753	optimal	52.68612231255443
./model.xml	obj	G_lcl_CP066290_1_prot_QQE52272_1_1754	optimal	52.68612231255427
