,fluxes
FADMQOR,1.0
FPRA,1.0
GCDH,-1.0
GLUDy,-0.5
GLUTCOADHc,1.0
SIRA2,0.16666666666666666
SULR,0.16666666666666666
MQL8,1.0
GLU,0.5
