	Cstr_1197
EX_12dgr160_e	0.7201108322581965
EX_12dgr180_e	0.7201108322581878
EX_1ag160_e	0.7201108322582157
EX_1ag180_e	0.7201108322581976
EX_1ag181d9_e	0.7201108322581916
EX_1ag182d9d12_e	0.7201108322581975
EX_3hpppn_e	0.24186989892980612
EX_3mb_e	0.24186989892985086
EX_4abut_e	0.32433847074120936
EX_4abzglu_e	0.24188696830262288
EX_4ahmmp_e	0.2418752985345509
EX_4hphac_e	0.24544885862763616
EX_5dglcn_e	0.24186989892986344
EX_5drib_e	0.24186989892980926
EX_LalaDgluMdapDala_e	0.24405067451121198
EX_LalaLglu_e	0.2744291758225592
EX_abg4_e	0.24188740322258984
EX_abt__L_e	0.2418698989298216
EX_ac_e	0.24186989892983535
EX_acald_e	0.24344284598040278
EX_acgam_e	0.24476417424963623
EX_actn__R_e	0.24186989892979877
EX_acysbmn_e	0.24186989892980668
EX_ala_B_e	0.24186989892980668
EX_ala_L_asp__L_e	0.2634978195541253
EX_ala_L_glu__L_e	0.2744291758225893
EX_ala_L_thr__L_e	0.251372461234879
EX_ala__D_e	0.2945456223895946
EX_ala__L_e	0.29454562238959137
EX_ala_L_gln__L_e	0.28210241034035494
EX_ala_L_his__L_e	0.2946034242772335
EX_ala_L_leu__L_e	0.24326898471797284
EX_alagly_e	0.24186989892977626
EX_alahis_e	0.2946034242772309
EX_ala_L_Thr__L_e	0.2513724612348562
EX_alatrp_e	0.24368465857330618
EX_anhgm_e	0.241869898929813
EX_arbt6p_e	0.24186989892984154
EX_arbt_e	0.24186989892984154
EX_arg__L_e	0.3110269365089816
EX_asn__L_e	0.248992136373905
EX_asp__L_e	0.3243384707411835
EX_bmn_e	0.24186989892983182
EX_btn_e	0.24186989892980834
EX_but_e	0.24186989892980873
EX_ca2_e	0.24186989892983146
EX_cgly_e	0.24186989892983146
EX_chol_e	0.24679040991888518
EX_cit_e	0.28187053130829093
EX_cl_e	0.24186989892984573
EX_cmcbtt_e	0.24186989892979643
EX_co2_e	0.24186989892979643
EX_cobalt2_e	0.24186989892979643
EX_4crsol_e	0.24186989892979643
EX_cu2_e	0.24186989892979643
EX_cu_e	0.24186989892979643
EX_cyan_e	0.24186989892979643
EX_cys__L_e	0.24186989892979643
EX_dag181d9_e	0.7201108322583128
EX_dag182d9d12_e	0.7201108322581866
EX_dca_e	0.24186989892979427
EX_ddca_e	0.2418698989298038
EX_drib_e	0.3130870522874527
