	Cstr_1116
EX_4abut_e	0.0
EX_4abzglu_e	0.0
EX_4ahmmp_e	0.0
EX_5mcsn_e	0.0
EX_LalaLglu_e	0.0
EX_abg4_e	0.0
EX_acgam_e	0.0
EX_acysbmn_e	0.0
EX_ala_B_e	0.0
EX_ala_L_asp__L_e	0.0
EX_ala_L_glu__L_e	0.0
EX_ala_L_thr__L_e	0.0
EX_ala__D_e	0.0
EX_ala__L_e	0.0
EX_ala_L_gln__L_e	0.0
EX_ala_L_his__L_e	0.0
EX_ala_L_leu__L_e	0.0
EX_alagly_e	0.0
EX_alahis_e	0.0
EX_alathr_e	0.0
EX_alatrp_e	0.0
EX_anhgm_e	0.0
EX_arg__L_e	0.0
EX_asn__L_e	0.0
EX_asp__L_e	0.0
EX_bmn_e	0.0
EX_cgly_e	0.0
EX_chol_e	0.0
EX_cmcbtt_e	0.0
EX_cyan_e	0.0
EX_cys__L_e	0.0
EX_fe3pyovd_kt_e	0.0
EX_g3pe_e	0.0
EX_gam_e	0.0
EX_gln__L_e	0.0
EX_glu__L_e	0.0
EX_gly_asn__L_e	0.0
EX_gly_asp__L_e	0.0
EX_gly_e	0.0
EX_gly_gln__L_e	0.0
EX_gly_glu__L_e	0.0
EX_gly_leu__L_e	0.0
EX_gly_met__L_e	0.0
EX_gly_phe__L_e	0.0
EX_gly_pro__L_e	0.0
EX_gly_tyr__L_e	0.0
EX_glyb_e	0.0
EX_glygln_e	0.0
EX_glyglu_e	0.0
EX_glygly_e	0.0
EX_glyglygln_e	0.0
EX_glymet_e	0.0
EX_glyser_e	0.0
EX_gthrd_e	0.0
EX_gua_e	0.0
EX_his__L_e	0.0
EX_hisgly_e	0.0
EX_hishis_e	0.0
EX_hom__L_e	0.0
EX_hxan_e	0.0
EX_ile__L_e	0.0
EX_ind3ac_e	0.0
EX_istfrnA_e	0.0
EX_istfrnB_e	0.0
EX_leu__L_e	0.0
EX_leuleu_e	0.0
EX_lys__L_e	0.0
EX_lysglugly_e	0.0
EX_met_L_ala__L_e	0.0
EX_met__D_e	0.0
EX_met__L_e	0.0
EX_metsox_R__L_e	0.0
EX_metsox_S__L_e	0.0
EX_mmet_e	0.0
EX_n2o_e	0.0
EX_nh4_e	0.0
EX_nmn_e	0.0
EX_no2_e	0.0
EX_no3_e	0.0
EX_no_e	0.0
EX_orn__L_e	0.0
EX_peamn_e	0.0
EX_phe__L_e	0.0
EX_pheme_e	0.0
EX_pnto__R_e	0.0
EX_pro__L_e	0.0
EX_progly_e	0.0
EX_prohisglu_e	0.0
EX_ptrc_e	0.0
EX_pyovd_kt_e	0.0
EX_salchs4_e	0.0
EX_salchs4fe_e	0.0
EX_ser__L_e	0.0
EX_serglugly_e	0.0
EX_spmd_e	0.0
EX_stfrnA_e	0.0
EX_stfrnB_e	0.0
EX_taur_e	0.0
EX_tcynt_e	0.0
EX_thm_e	0.0
EX_thr__L_e	0.0
EX_trp__L_e	0.0
EX_tyr__L_e	0.0
EX_ura_e	0.0
EX_urea_e	0.0
EX_val__L_e	0.0
EX_xtsn_e	0.0
EX_na1_e	0.0
EX_ni2_e	0.0
EX_btn_e	0.0
