	Cstr_16
EX_12dgr160_e	0.9554854607205803
EX_12dgr180_e	0.9554854607205703
EX_1ag160_e	0.9747003408685179
EX_1ag180_e	0.9747003408685474
EX_1ag181d9_e	0.9747003408685438
EX_1ag182d9d12_e	0.9747003408685416
EX_3h4atb_e	0.3050189169382562
EX_3hcinnm_e	0.3050189169382529
EX_3mb_e	0.3050189169382529
EX_4abut_e	0.32915704430050624
EX_4abzglu_e	0.30503631219123306
EX_4ahmmp_e	0.3050266602669755
EX_4hba_e	0.30501891693825256
EX_4hphac_e	0.3050189169382542
EX_5dglcn_e	0.3050189169382542
EX_5drib_e	0.3050189169382542
EX_5mcsn_e	0.30522554560480775
EX_6atha_e	0.3050189169382541
EX_LalaLglu_e	0.3050189169382541
EX_R_3hcmrs7e_e	0.3050189169382541
EX_abg4_e	0.30503692356209205
EX_ac_e	0.30501891693825295
EX_acac_e	0.3050189169382541
EX_acald_e	0.3060383801027382
EX_acgam_e	0.5739949767690612
EX_acglu_e	0.30501891693825134
EX_actn__R_e	0.3050189169382508
EX_acysbmn_e	0.3050189169382508
EX_ala_B_e	0.3050189169382508
EX_ala_L_asp__L_e	0.3050189169382508
EX_ala_L_glu__L_e	0.3050189169382508
EX_ala_L_thr__L_e	0.30749916898487034
EX_ala__D_e	0.3183878972206253
EX_ala__L_e	0.31838789722062216
EX_ala_L_gln__L_e	0.3083704544776387
EX_ala_L_his__L_e	0.3084569597844744
EX_ala_L_leu__L_e	0.3050189169382531
EX_alagly_e	0.3050189169382494
EX_alahis_e	0.3084569597844744
EX_ala_L_Thr__L_e	0.30749916898487095
EX_alatrp_e	0.30733113383245964
EX_anhgm_e	0.3050189169382494
EX_arbt6p_e	0.3050189169382494
EX_arbt_e	0.3050189169382494
EX_arg__L_e	1.6467321732150888
EX_asn__L_e	0.3069534163433654
EX_asp__L_e	0.3291570443004974
EX_bmn_e	0.3050189169382553
EX_but_e	0.30501891693825745
EX_ca2_e	0.30501891693825745
EX_cgly_e	0.30501891693825745
EX_chol_e	0.30501891693825745
EX_cit_e	0.30501891693825745
EX_cl_e	0.30501891693825745
EX_cmcbtt_e	0.30501891693825745
EX_co2_e	0.30501891693825745
EX_cobalt2_e	0.30501891693825745
EX_4crsol_e	0.30501891693825745
EX_cu2_e	0.30501891693825745
EX_cu_e	0.30501891693825745
EX_cyan_e	0.30501891693825745
EX_cys__L_e	0.30501891693825745
EX_dag181d9_e	0.9554854607205714
EX_dag182d9d12_e	0.9554854607205697
EX_dca_e	0.30501891693825256
EX_dhptd_e	0.3050189169382563
EX_drib_e	0.3262751973617229
EX_fe3dcit_e	0.3050189169382506
EX_fe3pyovd_kt_e	0.3050189169382506
EX_for_e	0.41088607056667253
EX_fru_e	13.036019826382317
EX_fum_e	0.32915704430049847
EX_g3pe_e	0.3093727812032715
EX_gam_e	13.068782308166131
EX_glc__D_e	13.036019826382315
EX_glcn__D_e	4.643320420964154
EX_glcr_e	0.30501891693825495
EX_glcur_e	0.30501891693858346
EX_gln__L_e	0.30702103975876327
EX_glu__L_e	0.3291570443005131
EX_gly_asn__L_e	0.3074815733377739
EX_gly_asp__L_e	0.30501891693834676
EX_gly_e	0.33080592438263984
EX_gly_gln__L_e	0.3114504406918668
EX_gly_glu__L_e	0.30501891693824806
EX_gly_leu__L_e	0.3050937850342299
EX_gly_met__L_e	0.3062512322544483
EX_gly_pro__L_e	0.3050189169382436
EX_gly_tyr__L_e	0.30807825272341915
EX_glyald_e	12.345850091670714
EX_glyb_e	0.3050189169382181
EX_glyc3p_e	0.31257369238767596
EX_glyc_e	0.9747003408686059
EX_glyclt_e	0.3256949222787569
EX_glygln_e	0.31145044069194633
EX_glyglu_e	0.3050189169381201
EX_glygly_e	0.3058618918220865
EX_glyglygln_e	0.31316975283742055
EX_glymet_e	0.30625123225447737
