	Cstr_1197
EX_4abut_e	0.8203187103894289
EX_4abzglu_e	0.7613907028081325
EX_4ahmmp_e	0.7613616166789237
EX_LalaDgluMdapDala_e	0.7672591559195663
EX_LalaLglu_e	0.7832064144401697
EX_abg4_e	0.7613921571728275
EX_acgam_e	0.767038461938497
EX_acysbmn_e	0.7613446507963872
EX_ala_B_e	0.7613446507964308
EX_ala_L_asp__L_e	0.7832064144401497
EX_ala_L_glu__L_e	0.7832064144401278
EX_ala_L_thr__L_e	0.7733608201493617
EX_ala__D_e	0.7901737375936583
EX_ala__L_e	0.7901737375936689
EX_ala_L_gln__L_e	0.8107866800457806
EX_ala_L_his__L_e	0.8079329318710389
EX_ala_L_leu__L_e	0.7613446507971584
EX_alagly_e	0.7613446507963563
EX_alahis_e	0.8079329318699037
EX_ala_L_Thr__L_e	0.7733608201572251
EX_alatrp_e	0.7660272931789625
EX_anhgm_e	0.7613446507963589
EX_arg__L_e	0.8405356486581647
EX_asn__L_e	0.7899174042021697
EX_asp__L_e	0.8203187103911379
EX_bmn_e	0.7613446507973204
EX_btn_e	0.7613446507964398
EX_cgly_e	0.7613446507964398
EX_chol_e	0.7613446507964398
EX_cmcbtt_e	0.7613446507964398
EX_cyan_e	0.7613446507964398
EX_cys__L_e	0.7613446507964398
EX_enter_e	0.7613446507964398
EX_fe3pyovd_kt_e	0.7613446507964398
EX_feenter_e	0.7613446507964398
EX_g3pe_e	0.7683920478841922
EX_gam_e	0.767332748804233
EX_gln__L_e	0.8057231790372286
EX_glu__L_e	0.8203187103893909
EX_gly_asn__L_e	0.8046787563480451
EX_gly_asp__L_e	0.7844918351320619
EX_gly_e	0.8022043645378496
EX_gly_gln__L_e	0.8210869177486018
EX_gly_glu__L_e	0.784491835139523
EX_gly_leu__L_e	0.7613446507964825
EX_gly_met__L_e	0.7647070849110721
EX_gly_pro__L_e	0.7797515087320878
EX_gly_tyr__L_e	0.7678037948017841
EX_glyb_e	0.7613446507964223
EX_glygln_e	0.8210869177513576
EX_glyglu_e	0.784491835140097
EX_glygly_e	0.7613446507964584
EX_glyglygln_e	0.8258432243337556
EX_glymet_e	0.7647070849218585
EX_gly_phe__L_e	0.7697592081884803
EX_glyser_e	0.7613446507964071
EX_gthrd_e	0.7613446507964469
EX_gua_e	0.7851530672044553
EX_his__L_e	0.8061115475947451
EX_hisgly_e	0.8200366340705935
EX_hishis_e	0.8232518398981472
EX_hxan_e	0.7952128417698993
EX_ile__L_e	0.7674986355074387
EX_ind3ac_e	0.7613446507952494
EX_istfrnA_e	0.761344650796447
EX_istfrnB_e	0.761344650796447
EX_leu__L_e	0.7629803345557539
EX_leuleu_e	0.761344650796412
EX_lys__L_e	0.7719327498483525
EX_lysglugly_e	0.7930314195873938
EX_met_L_ala__L_e	0.764707084911143
EX_met__D_e	0.7641446182432063
EX_met__L_e	0.764144618243222
EX_metsox_R__L_e	0.7643695055901464
EX_metsox_S__L_e	0.7643695055901469
EX_n2o_e	0.7613446507963898
EX_nh4_e	0.7901737375936931
EX_no2_e	0.7613446507805985
EX_no3_e	0.7625449394422343
EX_no_e	1.28969816266025
EX_orn__L_e	0.807724519949866
EX_peamn_e	0.7613446507929449
EX_phe__L_e	0.7690737258483098
EX_pheme_e	0.7613446507964817
EX_pnto__R_e	0.7613555019214042
EX_pro__L_e	0.7986243472209309
EX_progly_e	0.7797515087356331
EX_prohisglu_e	0.8145320732364093
EX_ptrc_e	0.7613446507968812
EX_pyovd_kt_e	0.7613446507964411
EX_salchs4_e	0.7613446507964411
EX_salchs4fe_e	0.7613446507964411
EX_ser__D_e	0.9529309920906927
EX_ser__L_e	0.9529309920906132
EX_serglugly_e	0.8034326719831701
EX_stfrnA_e	0.7613446507964514
EX_stfrnB_e	0.7613446507971908
EX_taur_e	0.7613446507964151
EX_tcynt_e	0.7613446507964151
EX_thm_e	0.7613834310573351
EX_thr__L_e	0.817921756799092
EX_thym_e	0.7613446507964103
EX_trp__L_e	0.7658188789740595
EX_tyr__L_e	0.7682111321975562
EX_ura_e	0.7774991731531118
EX_urea_e	0.7901737375936445
EX_val__L_e	0.7645251712037157
EX_na1_e	0.7613446507969017
EX_ni2_e	0.7613446507940891
