	Cstr_TS
EX_2m35mdntha_e	0.0
EX_35dnta_e	0.0
EX_4abut_e	0.8134080060862455
EX_4abz_e	0.0
EX_4abzglu_e	0.7865847359743448
EX_4ahmmp_e	0.0
EX_5mcsn_e	0.7587831273960545
EX_6apa_e	0.0
EX_LalaLglu_e	0.7613974551035874
EX_abg4_e	0.8134500583190657
EX_acgam_e	0.0
EX_acysbmn_e	0.0
EX_ad_e	0.6794117782591469
EX_ala_B_e	0.0
EX_ala_L_asp__L_e	0.761397455114003
EX_ala_L_glu__L_e	0.7613974551078813
EX_ala_L_thr__L_e	0.7611956262643764
EX_ala__D_e	0.7837543154744374
EX_ala__L_e	0.783754315468796
EX_ala_L_gln__L_e	0.8025406414305446
EX_ala_L_his__L_e	0.8012247874730647
EX_ala_L_leu__L_e	0.6717760948774902
EX_alagly_e	0.74756459480925
EX_alahis_e	0.8012247874639951
EX_ala_L_Thr__L_e	0.7611956262592091
EX_alatrp_e	0.7147778292483731
EX_amp_e	0.0
EX_anhgm_e	0.0
EX_arg__L_e	0.8332976195862093
EX_asn__L_e	0.7677383906252544
EX_asp__L_e	0.8134080060862644
EX_bmn_e	0.0
EX_btn_e	0.0
EX_cgly_e	0.7590887169936681
EX_chol_e	0.0
EX_chols_e	0.0
EX_cmcbtt_e	0.0
EX_crn_e	0.0
EX_cyan_e	0.0
EX_cys__L_e	0.7101373972249992
EX_dcyt_e	0.0
EX_enter_e	0.0
EX_fe3pyovd_kt_e	0.0
EX_feenter_e	0.0
EX_fol_e	0.0
EX_g3pe_e	0.0
EX_gam_e	0.0
EX_gln__L_e	0.7849072554273838
EX_glu__L_e	0.8134080060862932
EX_gly_asn__L_e	0.7985168029514681
EX_gly_asp__L_e	0.7744959520804837
EX_gly_e	0.797640340580102
EX_gly_gln__L_e	0.8171065171476263
EX_gly_glu__L_e	0.7744959520814335
EX_gly_leu__L_e	0.6819519094878577
EX_gly_met__L_e	0.0
EX_gly_phe__L_e	0.6141718980114628
EX_gly_pro__L_e	0.7625422850190264
EX_gly_tyr__L_e	0.0
EX_glyb_e	0.0
EX_glygln_e	0.8171065171476263
EX_glyglu_e	0.7744959520804717
EX_glygly_e	0.7475645948094436
EX_glyglygln_e	0.823479542811155
EX_glymet_e	0.0
EX_glyser_e	0.7554693038350071
EX_gthrd_e	0.7355650647513485
EX_gua_e	0.0
EX_his__L_e	0.797794206455419
EX_hisgly_e	0.8152699640323315
EX_hishis_e	0.8160180929815782
EX_hxan_e	0.0
EX_ile__L_e	0.6085349787162165
EX_ind3ac_e	0.0
EX_istfrnA_e	0.0
EX_istfrnB_e	0.0
EX_leu__L_e	0.6444940677600113
EX_leuleu_e	0.6137794824181918
EX_lys__L_e	0.7259979120248166
EX_lysglugly_e	0.7828181483478951
EX_met_L_ala__L_e	0.0
EX_met__D_e	0.0
EX_met__L_e	0.0
EX_metox__R_e	0.0
EX_metsox_S__L_e	0.0
EX_metsox_R__L_e	0.0
EX_nh4_e	0.7837543154688245
EX_no2_e	0.0
EX_no3_e	0.0
EX_orn__L_e	0.8002332343694054
EX_peng_e	0.0
EX_phe__L_e	0.4525139543534019
EX_pheme_e	0.0
EX_pnto__R_e	0.0
EX_pro__L_e	0.7826999914807052
EX_progly_e	0.7625422850191382
EX_prohisglu_e	0.8051717994705513
EX_ptrc_e	0.7120722203049923
EX_pyovd_kt_e	0.0
EX_ribflv_e	0.0
EX_salchs4_e	0.0
EX_salchs4fe_e	0.0
EX_ser__D_e	0.9461805206661709
EX_ser__L_e	0.9461805204354418
EX_serglugly_e	0.7975510360669378
EX_spmd_e	0.0
EX_stfrnA_e	0.0
EX_stfrnB_e	0.0
EX_taur_e	0.6423862862129849
EX_tcynt_e	0.0
EX_thm_e	0.0
EX_thr__L_e	0.813177666055093
EX_thym_e	0.0
EX_tma_e	0.0
EX_tnt_e	0.0
EX_trp__L_e	0.6530279040742578
EX_tyr__L_e	0.0
EX_ura_e	0.0
EX_urea_e	0.7837543154688906
EX_val__L_e	0.6518973285974601
EX_na1_e	0.0
EX_ni2_e	0.0
