,fluxes
FADMQOR,1.0
FPRA,1.0
GCDH,-1.0
GLUTCOADHc,1.0
GLYCLTDy,0.5
GLYCTO4,0.5
SIRA2,0.16666666666666666
SULR,0.16666666666666666
MQL8,1.0
DMMQL8,0.5
